epoch,train_loss,train_acc,train_f1,train_fpr,train_fnr,val_acc,val_f1,val_fpr,val_fnr,status
1,0.4952,90.12,89.96,8.33,11.44,89.56,89.38,8.82,12.07,✓ best
2,0.3078,94.39,94.32,4.42,6.8,93.42,93.36,5.67,7.5,✓ best
3,0.251,96.2,96.16,2.78,4.83,94.47,94.42,4.59,6.46,✓ best
4,0.2193,97.33,97.3,1.33,4.01,95.01,94.95,3.65,6.32,✓ best
5,0.1991,98.18,98.17,0.86,2.77,95.52,95.45,3.01,5.96,✓ best
6,0.1805,98.97,98.97,0.5,1.55,95.88,95.84,3.24,5.0,✓ best
7,0.1659,99.23,99.23,0.59,0.96,95.76,95.75,4.21,4.28,patience 1/5
8,0.155,99.47,99.47,0.18,0.88,96.06,96.03,3.07,4.8,✓ best
9,0.1466,99.61,99.61,0.63,0.14,95.71,95.8,6.38,2.2,patience 1/5
10,0.1405,99.83,99.83,0.1,0.23,96.28,96.29,3.96,3.49,✓ best
11,0.1354,99.89,99.89,0.12,0.09,96.15,96.18,4.83,2.88,patience 1/5
12,0.1331,99.86,99.86,0.12,0.17,95.84,95.88,5.2,3.12,patience 2/5
13,0.1301,99.92,99.92,0.03,0.13,96.37,96.35,3.28,3.98,✓ best
14,0.1288,99.94,99.94,0.05,0.07,96.26,96.29,4.54,2.94,patience 1/5
15,0.1269,99.92,99.92,0.03,0.13,96.3,96.28,3.17,4.22,patience 2/5
16,0.1261,99.89,99.89,0.03,0.18,96.1,96.07,3.23,4.57,patience 3/5
17,0.1249,99.96,99.96,0.03,0.05,96.07,96.1,4.5,3.35,patience 4/5
18,0.1249,99.98,99.98,0.02,0.03,96.44,96.46,4.11,3.02,✓ best
19,0.123,99.97,99.97,0.02,0.03,96.35,96.36,3.91,3.38,patience 1/5
20,0.1233,99.98,99.98,0.02,0.02,96.19,96.21,4.51,3.11,patience 2/5
21,0.1226,99.98,99.98,0.02,0.02,96.38,96.4,4.21,3.04,patience 3/5
22,0.122,99.97,99.97,0.05,0.02,95.78,95.87,6.33,2.11,patience 4/5
23,0.1214,99.98,99.98,0.02,0.02,96.34,96.36,4.21,3.11,patience 5/5
