epoch,loss,train_acc,train_f1,train_fpr,train_fnr,val_acc,val_f1,val_fpr,val_fnr,status
1,0.5042,88.07417582417582,88.09673969672873,12.115384615384615,11.736263736263735,85.84188034188034,85.91830662642921,14.700854700854702,13.615384615384615,✓ best
2,0.2752,93.43956043956044,93.49897457304125,7.4743589743589745,5.646520146520147,89.96153846153845,90.16125654450262,12.068376068376068,8.008547008547009,✓ best
3,0.1889,95.41025641025641,95.45858175821388,5.653846153846153,3.5256410256410255,91.37179487179488,91.54628815475444,10.692307692307693,6.564102564102564,✓ best
4,0.1436,96.76465201465201,96.78019083725975,3.717948717948718,2.7527472527472527,92.42735042735043,92.49279783087613,8.444444444444445,6.700854700854701,✓ best
5,0.1165,97.2014652014652,97.24028319606994,4.205128205128205,1.391941391941392,92.29914529914531,92.51847546292453,10.632478632478632,4.769230769230769,patience 1/5
6,0.0952,98.15567765567765,98.15324237089203,1.7124542124542126,1.9761904761904763,93.29914529914531,93.30543933054393,6.794871794871795,6.6068376068376065,✓ best
7,0.0797,98.57051282051282,98.57480667220554,1.7307692307692308,1.1282051282051282,93.2905982905983,93.36713138994509,7.863247863247863,5.555555555555555,patience 1/5
8,0.0668,98.86263736263736,98.86361556901568,1.2234432234432233,1.0512820512820513,93.57264957264957,93.6081597960051,6.982905982905983,5.871794871794872,✓ best
9,0.0583,99.06684981684982,99.06824062982909,1.0824175824175826,0.7838827838827839,93.73076923076923,93.77888978414826,7.0427350427350435,5.495726495726496,✓ best
10,0.0501,99.27655677655677,99.27633145851273,0.6923076923076923,0.7545787545787547,93.89316239316238,93.89498867860043,6.136752136752137,6.076923076923077,✓ best
11,0.0429,99.38736263736264,99.38886808137464,0.8589743589743589,0.3663003663003663,93.67948717948718,93.76396677488721,7.6752136752136755,4.965811965811966,patience 1/5
12,0.039,99.51648351648352,99.51696124711823,0.5824175824175823,0.38461538461538464,93.77777777777779,93.82736984907581,7.0256410256410255,5.418803418803419,patience 2/5
13,0.0354,99.58241758241758,99.58279199985361,0.5073260073260073,0.32783882783882784,93.76495726495726,93.82224668670872,7.162393162393163,5.3076923076923075,patience 3/5
14,0.0315,99.64377289377289,99.64389355255088,0.3901098901098901,0.32234432234432236,93.93162393162393,93.96155808811022,6.564102564102564,5.572649572649572,✓ best
15,0.0283,99.70695970695971,99.70739379309083,0.4413919413919414,0.1446886446886447,93.93589743589743,94.00329628533997,7.188034188034188,4.94017094017094,✓ best
16,0.0254,99.76465201465201,99.76495980538306,0.3663003663003663,0.10439560439560441,93.87179487179486,93.94834571235651,7.3931623931623935,4.863247863247863,patience 1/5
17,0.0223,99.79212454212454,99.79224059820065,0.26373626373626374,0.15201465201465203,93.98717948717949,94.03484970534618,6.811965811965812,5.213675213675214,✓ best
18,0.0215,99.83058608058609,99.8307364337539,0.25824175824175827,0.08058608058608059,93.89316239316238,93.96817356802161,7.350427350427351,4.863247863247863,patience 1/5
19,0.0196,99.8489010989011,99.84897716351654,0.2014652014652015,0.10073260073260075,93.87179487179486,93.93144308082945,7.111111111111111,5.145299145299146,patience 2/5
20,0.0177,99.8562271062271,99.8563073740859,0.19963369963369965,0.0879120879120879,93.991452991453,94.0484253301727,6.965811965811966,5.051282051282051,✓ best
21,0.0166,99.88369963369964,99.8837411547158,0.15201465201465203,0.08058608058608059,93.93589743589743,93.9936507936508,7.0256410256410255,5.102564102564103,patience 1/5
22,0.0155,99.88736263736264,99.88746260190125,0.2014652014652015,0.023809523809523808,93.78632478632478,93.89178289363133,7.94017094017094,4.487179487179487,patience 2/5
23,0.0144,99.9029304029304,99.9029925871694,0.16117216117216118,0.03296703296703297,93.81623931623932,93.91326294535818,7.777777777777778,4.589743589743589,patience 3/5
24,0.0138,99.92582417582418,99.92585473019359,0.11538461538461539,0.03296703296703297,93.9957264957265,94.05089554134733,6.931623931623932,5.076923076923077,✓ best
25,0.0127,99.93681318681318,99.93684615173399,0.11538461538461539,0.010989010989010988,93.88888888888889,93.97031539888683,7.461538461538461,4.760683760683761,patience 1/5
26,0.0116,99.91391941391942,99.91396825977925,0.14285714285714285,0.029304029304029304,93.7905982905983,93.89931561489692,7.991452991452991,4.427350427350428,patience 2/5
27,0.0125,99.94688644688645,99.94689908996025,0.07692307692307693,0.029304029304029304,94.00854700854701,94.07438715131022,7.102564102564103,4.880341880341881,✓ best
28,0.0115,99.93681318681318,99.93684152715356,0.10805860805860806,0.018315018315018316,93.84615384615384,93.95364460866644,7.931623931623932,4.3760683760683765,patience 1/5
29,0.0113,99.9624542124542,99.96246143140971,0.056776556776556776,0.018315018315018316,93.98290598290599,94.05204460966543,7.179487179487179,4.854700854700854,patience 2/5
30,0.0097,99.95787545787546,99.95788702737343,0.0695970695970696,0.014652014652014652,93.81196581196582,93.8815177892335,7.324786324786325,5.051282051282051,patience 3/5
31,0.0092,99.95054945054946,99.95056936765407,0.08974358974358974,0.009157509157509158,93.57692307692308,93.68885156414025,8.196581196581198,4.64957264957265,patience 4/5
32,0.0096,99.95879120879121,99.95879535944181,0.05128205128205128,0.031135531135531136,93.98717948717949,94.04797157240155,7.034188034188034,4.9914529914529915,patience 5/5
