epoch,train_loss,train_acc,train_f1,train_fpr,train_fnr,val_acc,val_f1,val_fpr,val_fnr,status
1,0.4048,93.26,93.04,3.56,9.91,93.1,92.89,3.9,9.9,✓ best
2,0.2399,95.78,95.67,1.64,6.79,95.25,95.13,2.15,7.34,✓ best
3,0.2011,97.86,97.85,1.63,2.64,96.89,96.87,2.59,3.63,✓ best
4,0.1798,98.58,98.57,0.89,1.96,97.23,97.21,2.05,3.49,✓ best
5,0.165,99.17,99.17,0.64,1.01,97.65,97.64,1.94,2.77,✓ best
6,0.1516,99.52,99.52,0.28,0.68,97.79,97.78,1.91,2.52,✓ best
7,0.1429,99.67,99.67,0.57,0.08,97.71,97.74,3.42,1.15,patience 1/5
8,0.1357,99.61,99.61,0.05,0.73,97.5,97.47,1.13,3.86,patience 2/5
9,0.1311,99.9,99.9,0.14,0.05,97.93,97.94,2.72,1.43,✓ best
10,0.1281,99.92,99.92,0.13,0.03,97.83,97.85,2.95,1.39,patience 1/5
11,0.1267,99.92,99.92,0.05,0.11,97.94,97.94,2.0,2.12,✓ best
12,0.1245,99.93,99.93,0.02,0.12,97.93,97.93,1.78,2.36,patience 1/5
13,0.1244,99.95,99.95,0.08,0.03,98.02,98.03,2.62,1.33,✓ best
14,0.1231,99.96,99.96,0.05,0.03,98.08,98.09,2.23,1.61,✓ best
15,0.1226,99.97,99.97,0.01,0.04,98.02,98.02,1.74,2.21,patience 1/5
16,0.1216,99.95,99.95,0.09,0.01,97.83,97.86,3.26,1.08,patience 2/5
17,0.1212,99.98,99.98,0.01,0.02,98.03,98.03,2.31,1.64,patience 3/5
18,0.1214,99.98,99.98,0.01,0.02,98.02,98.02,2.03,1.93,patience 4/5
19,0.1205,99.98,99.98,0.03,0.01,98.0,98.01,2.48,1.53,patience 5/5
